state,district,crop_type,season,land_area_hectares,soil_type,ndvi_current,ndvi_30day_avg,rainfall_mm,avg_temperature_c,past_yield_ton_per_hectare,agri_trust_score
Punjab,Ludhiana,Maize,Kharif,14.51,Red,0.838,0.864,834.5,23.8,5.53,100.0
Maharashtra,Nagpur,Rice,Rabi,11.69,Black,0.356,0.257,881.2,36.5,3.02,61.05
Haryana,Hisar,Rice,Rabi,10.08,Black,0.476,0.721,902.2,38.2,2.89,73.84
Maharashtra,Nagpur,Rice,Rabi,2.54,Red,0.473,0.488,200.8,38.1,1.01,23.64
Maharashtra,Nagpur,Cotton,Kharif,7.14,Red,0.599,0.685,612.6,37.0,2.78,64.62
Haryana,Karnal,Maize,Kharif,4.18,Alluvial,0.761,0.249,704.5,19.4,3.98,70.78
Uttar Pradesh,Lucknow,Rice,Kharif,8.68,Red,0.573,0.297,611.7,22.9,1.26,54.17
Uttar Pradesh,Kanpur,Rice,Kharif,10.3,Red,0.45,0.559,692.0,39.0,2.27,53.68
Maharashtra,Pune,Cotton,Kharif,14.0,Alluvial,0.479,0.867,717.6,16.1,5.53,78.17
Karnataka,Belagavi,Maize,Kharif,12.72,Black,0.526,0.265,721.5,27.2,1.95,69.26
Maharashtra,Nagpur,Maize,Rabi,12.08,Loamy,0.862,0.626,291.9,38.1,4.88,64.61
Karnataka,Belagavi,Wheat,Rabi,14.16,Alluvial,0.523,0.418,515.8,34.3,1.84,51.15
Karnataka,Belagavi,Sugarcane,Rabi,9.99,Loamy,0.762,0.892,379.0,30.0,5.69,92.37
Punjab,Ludhiana,Sugarcane,Kharif,4.15,Red,0.39,0.704,96.1,31.3,2.11,40.0
Haryana,Karnal,Rice,Rabi,8.5,Red,0.45,0.876,965.4,26.1,4.98,100.0
Punjab,Ludhiana,Cotton,Kharif,2.4,Loamy,0.773,0.897,363.1,24.5,4.09,81.09
Uttar Pradesh,Kanpur,Maize,Kharif,2.03,Red,0.738,0.682,754.6,33.4,3.35,86.56
Maharashtra,Nagpur,Wheat,Kharif,12.48,Black,0.712,0.893,308.9,36.9,4.83,69.04
Uttar Pradesh,Lucknow,Wheat,Rabi,6.44,Red,0.644,0.217,902.9,28.0,3.33,89.76
Karnataka,Belagavi,Cotton,Kharif,8.76,Red,0.814,0.85,552.4,33.8,3.2,81.76
Maharashtra,Pune,Wheat,Rabi,9.87,Black,0.224,0.822,659.5,31.1,5.51,82.71
Uttar Pradesh,Lucknow,Rice,Kharif,14.26,Black,0.858,0.468,474.6,21.4,4.3,73.76
Maharashtra,Pune,Wheat,Kharif,3.46,Loamy,0.259,0.634,190.0,19.0,1.07,21.77
Maharashtra,Pune,Sugarcane,Rabi,5.83,Alluvial,0.491,0.782,344.3,38.6,1.9,42.25
Maharashtra,Nagpur,Wheat,Kharif,8.9,Red,0.832,0.208,523.6,23.8,3.9,71.6
Haryana,Karnal,Maize,Rabi,9.53,Loamy,0.347,0.437,583.6,29.8,2.86,62.95
Karnataka,Mysuru,Maize,Kharif,0.95,Loamy,0.707,0.834,805.8,29.6,4.36,100.0
Haryana,Hisar,Cotton,Rabi,10.44,Red,0.721,0.784,384.1,16.6,4.11,61.79
Maharashtra,Pune,Rice,Rabi,5.24,Alluvial,0.542,0.859,265.8,24.7,4.03,67.29
Uttar Pradesh,Kanpur,Sugarcane,Rabi,3.81,Red,0.217,0.469,184.5,32.8,4.31,40.5
Karnataka,Mysuru,Rice,Rabi,1.33,Red,0.237,0.499,935.2,22.1,3.14,71.43
Maharashtra,Nagpur,Maize,Kharif,4.43,Alluvial,0.408,0.789,59.8,30.9,2.97,46.05
Karnataka,Mysuru,Maize,Rabi,8.6,Alluvial,0.222,0.523,489.6,28.6,4.35,65.88
Punjab,Amritsar,Wheat,Kharif,5.48,Red,0.668,0.36,351.5,39.1,2.74,41.45
Punjab,Ludhiana,Sugarcane,Rabi,8.91,Red,0.201,0.83,591.7,24.1,5.15,75.32
Punjab,Ludhiana,Sugarcane,Rabi,9.38,Loamy,0.507,0.709,900.2,31.9,2.02,82.78
Maharashtra,Pune,Rice,Rabi,2.15,Black,0.297,0.41,317.6,30.1,5.08,57.73
Uttar Pradesh,Kanpur,Cotton,Rabi,14.5,Red,0.206,0.816,239.7,38.7,2.71,31.74
Karnataka,Mysuru,Wheat,Rabi,7.39,Alluvial,0.357,0.797,291.3,22.7,5.17,62.24
Haryana,Hisar,Wheat,Rabi,2.19,Loamy,0.227,0.707,662.9,22.1,2.48,59.36
Karnataka,Mysuru,Wheat,Rabi,2.07,Red,0.556,0.525,954.0,38.6,4.9,83.58
Karnataka,Mysuru,Rice,Kharif,14.23,Red,0.622,0.605,270.3,16.2,5.73,55.46
Uttar Pradesh,Lucknow,Wheat,Kharif,11.61,Loamy,0.248,0.778,298.8,32.2,5.62,62.77
Haryana,Hisar,Cotton,Kharif,5.03,Loamy,0.325,0.801,433.3,25.0,1.85,56.32
Uttar Pradesh,Lucknow,Cotton,Rabi,2.17,Red,0.507,0.79,616.8,33.1,1.93,67.78
Uttar Pradesh,Lucknow,Rice,Rabi,12.09,Loamy,0.293,0.277,926.0,33.8,3.95,71.63
Uttar Pradesh,Kanpur,Rice,Rabi,11.41,Black,0.856,0.261,580.0,21.3,1.7,60.59
Haryana,Hisar,Rice,Rabi,6.8,Black,0.295,0.391,231.2,37.1,4.54,36.16
Haryana,Karnal,Cotton,Rabi,11.45,Red,0.624,0.682,318.2,27.0,1.22,58.9
Haryana,Karnal,Rice,Kharif,9.4,Red,0.418,0.893,472.9,30.9,1.63,62.95
Maharashtra,Pune,Sugarcane,Rabi,8.41,Alluvial,0.303,0.517,887.1,25.5,5.2,88.89
Punjab,Ludhiana,Sugarcane,Rabi,12.76,Red,0.408,0.754,144.5,35.6,4.38,47.05
Punjab,Ludhiana,Rice,Kharif,9.12,Red,0.404,0.387,774.4,21.4,3.23,65.48
Punjab,Ludhiana,Rice,Kharif,10.27,Alluvial,0.205,0.533,233.2,30.7,5.9,56.26
Punjab,Amritsar,Sugarcane,Rabi,13.36,Red,0.498,0.433,905.7,17.5,1.59,60.49
Uttar Pradesh,Lucknow,Sugarcane,Rabi,7.52,Loamy,0.782,0.827,443.9,15.4,5.31,71.59
Punjab,Ludhiana,Wheat,Rabi,6.75,Red,0.654,0.455,269.0,26.7,3.8,64.12
Maharashtra,Nagpur,Maize,Rabi,9.59,Loamy,0.435,0.67,80.5,18.3,4.43,38.75
Uttar Pradesh,Kanpur,Sugarcane,Rabi,14.98,Alluvial,0.503,0.692,223.5,30.2,4.63,64.83
Maharashtra,Nagpur,Sugarcane,Rabi,4.31,Alluvial,0.25,0.58,894.7,31.9,2.25,71.44
Haryana,Karnal,Maize,Kharif,10.5,Black,0.878,0.759,179.8,23.7,5.83,79.24
Karnataka,Mysuru,Wheat,Rabi,14.96,Alluvial,0.427,0.56,885.7,23.9,1.55,72.78
Uttar Pradesh,Lucknow,Maize,Kharif,9.51,Red,0.202,0.852,393.4,24.9,1.87,51.19
Maharashtra,Pune,Wheat,Rabi,10.79,Black,0.798,0.68,67.0,20.4,1.35,39.83
Uttar Pradesh,Kanpur,Sugarcane,Rabi,8.86,Red,0.875,0.34,140.5,18.0,4.92,50.75
Haryana,Hisar,Rice,Kharif,9.86,Loamy,0.583,0.721,372.1,26.3,1.51,61.18
Punjab,Amritsar,Wheat,Kharif,6.65,Loamy,0.556,0.862,570.8,38.8,1.9,57.45
Punjab,Ludhiana,Sugarcane,Rabi,3.73,Red,0.436,0.543,351.0,23.4,2.69,50.63
Maharashtra,Pune,Wheat,Rabi,4.32,Red,0.203,0.547,145.2,33.9,2.38,28.14
Maharashtra,Pune,Rice,Rabi,13.61,Black,0.289,0.864,593.3,22.6,3.48,67.98
Karnataka,Mysuru,Sugarcane,Kharif,7.9,Black,0.371,0.435,869.9,28.1,3.64,85.36
Punjab,Ludhiana,Wheat,Kharif,13.16,Red,0.758,0.56,174.2,20.4,4.28,55.44
Haryana,Karnal,Cotton,Rabi,5.97,Black,0.752,0.446,208.7,15.8,2.93,38.15
Karnataka,Belagavi,Wheat,Kharif,14.56,Alluvial,0.218,0.75,355.3,15.9,5.59,47.89
Maharashtra,Nagpur,Rice,Rabi,1.22,Black,0.281,0.25,772.5,27.1,2.71,66.46
Uttar Pradesh,Kanpur,Maize,Rabi,5.13,Loamy,0.467,0.63,642.4,27.0,3.0,77.22
Haryana,Karnal,Sugarcane,Kharif,6.05,Loamy,0.568,0.675,321.9,21.3,2.91,54.0
Haryana,Karnal,Cotton,Kharif,13.4,Alluvial,0.626,0.865,998.8,24.3,2.49,98.53
Maharashtra,Pune,Maize,Kharif,13.75,Black,0.351,0.231,340.1,32.4,5.76,55.07
Punjab,Ludhiana,Wheat,Kharif,2.59,Black,0.363,0.834,85.0,20.5,2.55,35.55
Punjab,Ludhiana,Rice,Rabi,2.88,Alluvial,0.366,0.552,307.6,38.7,3.32,37.19
Punjab,Ludhiana,Sugarcane,Kharif,6.98,Red,0.714,0.321,321.4,36.6,5.43,59.03
Maharashtra,Pune,Rice,Kharif,13.57,Loamy,0.263,0.292,520.7,17.7,2.73,35.59
Maharashtra,Nagpur,Maize,Kharif,1.51,Alluvial,0.379,0.338,65.1,28.4,3.81,43.22
Punjab,Ludhiana,Maize,Rabi,1.6,Black,0.687,0.377,345.8,18.0,5.32,57.36
Maharashtra,Nagpur,Cotton,Kharif,14.62,Alluvial,0.335,0.775,583.8,21.6,1.65,55.74
Karnataka,Mysuru,Maize,Rabi,13.61,Red,0.764,0.392,885.0,35.8,5.65,93.44
Punjab,Ludhiana,Wheat,Rabi,5.0,Loamy,0.896,0.227,204.2,37.3,1.3,35.15
Karnataka,Belagavi,Rice,Kharif,11.18,Loamy,0.351,0.48,532.5,35.3,5.2,62.31
Karnataka,Mysuru,Cotton,Kharif,2.12,Red,0.596,0.374,460.1,30.9,2.28,58.82
Maharashtra,Pune,Sugarcane,Rabi,7.96,Loamy,0.759,0.875,193.7,15.5,5.34,59.83
Karnataka,Belagavi,Sugarcane,Rabi,6.07,Loamy,0.353,0.414,976.5,32.6,4.56,85.13
Punjab,Amritsar,Maize,Kharif,8.89,Alluvial,0.501,0.649,827.3,15.1,5.96,79.12
Maharashtra,Nagpur,Sugarcane,Rabi,3.76,Black,0.534,0.293,425.3,19.4,2.82,44.18
Karnataka,Mysuru,Cotton,Rabi,2.83,Loamy,0.701,0.692,968.6,22.5,4.78,100.0
Haryana,Karnal,Cotton,Rabi,8.76,Red,0.355,0.73,344.1,38.1,4.28,49.08
Karnataka,Mysuru,Rice,Rabi,4.71,Black,0.438,0.855,206.5,16.1,3.27,39.58
Haryana,Hisar,Rice,Rabi,12.67,Alluvial,0.718,0.81,652.3,36.1,2.31,73.34
Punjab,Amritsar,Sugarcane,Rabi,5.74,Loamy,0.638,0.221,971.4,38.1,5.68,84.62
Haryana,Karnal,Rice,Rabi,6.41,Loamy,0.595,0.755,309.4,30.7,5.14,75.47
Karnataka,Mysuru,Cotton,Rabi,11.94,Red,0.291,0.257,69.8,30.7,4.15,35.45
Punjab,Ludhiana,Rice,Kharif,7.28,Loamy,0.223,0.369,196.8,37.2,2.37,20.32
Haryana,Karnal,Cotton,Kharif,3.64,Black,0.319,0.2,732.3,17.8,2.22,43.48
Haryana,Hisar,Sugarcane,Kharif,9.2,Loamy,0.445,0.511,111.1,34.9,2.2,31.11
Maharashtra,Pune,Maize,Kharif,10.53,Red,0.285,0.246,976.1,32.0,3.09,72.38
Maharashtra,Nagpur,Rice,Rabi,7.43,Loamy,0.501,0.208,930.2,30.1,2.02,75.14
Uttar Pradesh,Lucknow,Cotton,Rabi,1.2,Black,0.597,0.37,747.7,32.2,2.59,72.08
Karnataka,Belagavi,Sugarcane,Rabi,7.03,Red,0.426,0.8,613.9,28.0,4.72,89.2
Karnataka,Belagavi,Sugarcane,Kharif,8.01,Black,0.693,0.823,920.1,21.9,1.94,88.33
Maharashtra,Nagpur,Sugarcane,Kharif,12.48,Loamy,0.434,0.391,571.7,33.0,5.97,73.4
Uttar Pradesh,Lucknow,Maize,Kharif,12.57,Alluvial,0.792,0.675,956.3,27.8,5.57,100.0
Uttar Pradesh,Lucknow,Sugarcane,Rabi,9.04,Alluvial,0.829,0.755,569.2,25.6,4.09,92.0
Punjab,Amritsar,Sugarcane,Rabi,5.15,Alluvial,0.471,0.636,200.2,36.5,3.24,41.59
Karnataka,Mysuru,Maize,Kharif,10.12,Alluvial,0.306,0.272,594.2,25.0,3.15,56.97
Maharashtra,Nagpur,Rice,Rabi,0.99,Black,0.679,0.786,722.3,25.1,1.16,79.53
Punjab,Amritsar,Rice,Rabi,9.99,Loamy,0.256,0.37,785.0,28.2,5.64,85.26
Karnataka,Mysuru,Maize,Kharif,14.7,Loamy,0.872,0.43,891.6,36.2,2.05,79.7
Uttar Pradesh,Lucknow,Maize,Rabi,3.03,Red,0.25,0.48,598.1,36.4,5.87,63.2
Maharashtra,Nagpur,Sugarcane,Kharif,8.7,Black,0.514,0.416,527.3,23.5,4.79,69.7
Uttar Pradesh,Kanpur,Maize,Kharif,11.9,Black,0.727,0.346,237.0,31.1,3.29,56.2
Uttar Pradesh,Kanpur,Rice,Kharif,1.89,Red,0.477,0.888,818.0,19.0,2.39,73.75
Haryana,Hisar,Rice,Rabi,11.37,Alluvial,0.557,0.768,465.2,18.1,3.82,61.26
Uttar Pradesh,Kanpur,Wheat,Rabi,2.32,Black,0.333,0.222,690.5,25.0,3.81,64.78
Karnataka,Mysuru,Wheat,Kharif,6.56,Loamy,0.372,0.534,924.4,33.1,4.31,83.94
Haryana,Karnal,Sugarcane,Kharif,9.57,Black,0.236,0.348,120.6,22.2,4.14,32.09
Karnataka,Belagavi,Sugarcane,Kharif,11.31,Red,0.644,0.741,358.4,33.5,5.31,74.53
Haryana,Karnal,Maize,Kharif,11.27,Loamy,0.662,0.485,298.9,39.5,4.99,52.19
Haryana,Hisar,Wheat,Rabi,12.82,Alluvial,0.506,0.878,956.4,34.3,5.66,100.0
Haryana,Hisar,Wheat,Kharif,11.42,Red,0.497,0.786,883.8,22.5,5.12,95.84
Haryana,Karnal,Wheat,Rabi,3.78,Black,0.605,0.605,246.6,34.9,4.16,55.63
Punjab,Ludhiana,Rice,Rabi,12.62,Loamy,0.361,0.225,814.3,30.4,1.5,61.67
Haryana,Hisar,Wheat,Rabi,3.04,Alluvial,0.532,0.654,76.9,15.4,1.65,21.86
Uttar Pradesh,Kanpur,Wheat,Kharif,4.77,Red,0.21,0.254,422.1,18.8,2.88,30.8
Maharashtra,Nagpur,Wheat,Rabi,5.49,Red,0.63,0.803,765.6,28.8,2.81,92.85
Karnataka,Belagavi,Maize,Kharif,1.05,Black,0.624,0.539,150.5,21.9,5.45,57.89
Karnataka,Mysuru,Wheat,Rabi,12.43,Black,0.847,0.647,829.7,16.5,5.53,91.95
Punjab,Amritsar,Rice,Kharif,9.04,Loamy,0.418,0.515,815.4,19.0,2.46,62.57
Punjab,Ludhiana,Maize,Rabi,2.39,Alluvial,0.734,0.248,62.0,37.5,3.91,35.54
Haryana,Karnal,Wheat,Rabi,8.06,Black,0.803,0.544,171.4,15.1,4.39,46.42
Punjab,Amritsar,Wheat,Kharif,3.34,Black,0.54,0.749,511.2,23.4,1.41,61.03
Punjab,Amritsar,Sugarcane,Kharif,3.83,Black,0.323,0.426,114.2,15.8,4.03,23.42
Maharashtra,Nagpur,Wheat,Kharif,14.07,Red,0.267,0.672,176.7,37.0,3.55,34.73
Punjab,Ludhiana,Cotton,Kharif,14.57,Red,0.668,0.745,787.3,28.4,4.99,100.0
Maharashtra,Pune,Wheat,Rabi,14.74,Black,0.488,0.734,144.8,34.4,2.86,44.17
Haryana,Karnal,Wheat,Kharif,2.23,Loamy,0.847,0.254,933.5,32.7,2.65,86.52
Punjab,Ludhiana,Cotton,Rabi,14.2,Loamy,0.653,0.351,742.2,31.1,5.93,92.19
Haryana,Hisar,Rice,Rabi,4.74,Red,0.257,0.208,456.1,25.3,5.94,61.3
Haryana,Karnal,Maize,Rabi,7.62,Red,0.619,0.267,413.8,38.6,3.95,47.58
Maharashtra,Nagpur,Sugarcane,Rabi,13.39,Red,0.43,0.496,686.0,15.4,5.1,62.05
Karnataka,Mysuru,Cotton,Rabi,6.29,Black,0.522,0.835,899.3,39.2,5.43,88.86
Uttar Pradesh,Kanpur,Wheat,Kharif,10.66,Red,0.658,0.234,148.4,18.2,1.46,24.0
Maharashtra,Pune,Maize,Kharif,3.23,Alluvial,0.55,0.755,192.6,31.5,2.62,53.86
Uttar Pradesh,Kanpur,Wheat,Kharif,12.27,Black,0.309,0.753,111.0,19.9,4.28,40.39
Punjab,Amritsar,Rice,Rabi,14.35,Red,0.548,0.476,509.1,34.8,3.39,59.89
Punjab,Amritsar,Sugarcane,Kharif,9.68,Loamy,0.235,0.626,195.0,35.8,2.78,31.93
Uttar Pradesh,Lucknow,Cotton,Kharif,12.82,Black,0.866,0.598,207.1,38.4,5.34,61.52
Punjab,Ludhiana,Wheat,Rabi,13.56,Alluvial,0.419,0.602,525.7,27.2,3.28,70.8
Punjab,Amritsar,Wheat,Kharif,13.24,Loamy,0.677,0.579,962.7,18.0,4.69,89.76
Karnataka,Belagavi,Wheat,Kharif,9.2,Black,0.309,0.575,268.9,33.6,3.64,45.63
Haryana,Hisar,Maize,Kharif,3.25,Loamy,0.331,0.604,701.2,18.0,1.61,49.8
Maharashtra,Nagpur,Sugarcane,Kharif,14.59,Alluvial,0.3,0.271,156.6,29.3,4.9,47.0
Karnataka,Mysuru,Rice,Rabi,14.07,Red,0.666,0.386,592.0,26.1,3.78,77.66
Haryana,Karnal,Rice,Rabi,13.35,Black,0.594,0.376,957.1,27.1,2.66,89.55
Karnataka,Belagavi,Cotton,Kharif,2.38,Red,0.558,0.308,635.5,18.9,3.88,60.2
Haryana,Hisar,Wheat,Kharif,13.21,Black,0.747,0.211,826.0,22.5,1.75,70.47
Haryana,Hisar,Rice,Rabi,4.69,Alluvial,0.321,0.734,990.6,34.4,2.48,78.72
Uttar Pradesh,Lucknow,Maize,Rabi,8.49,Loamy,0.624,0.694,696.2,22.3,2.65,75.85
Punjab,Ludhiana,Rice,Rabi,6.75,Loamy,0.24,0.518,805.7,24.7,2.92,69.64
Uttar Pradesh,Kanpur,Rice,Rabi,8.77,Black,0.555,0.788,602.7,23.1,3.58,77.36
Maharashtra,Nagpur,Cotton,Rabi,4.84,Alluvial,0.639,0.775,536.2,32.9,2.56,71.55
Haryana,Hisar,Maize,Rabi,14.09,Alluvial,0.357,0.528,288.0,17.0,3.02,33.2
Punjab,Ludhiana,Cotton,Kharif,7.99,Black,0.755,0.503,494.7,39.7,3.13,55.98
Karnataka,Mysuru,Sugarcane,Kharif,7.24,Black,0.827,0.391,919.7,35.7,5.9,98.8
Punjab,Amritsar,Sugarcane,Kharif,14.34,Loamy,0.433,0.596,433.5,24.9,1.97,55.38
Maharashtra,Pune,Sugarcane,Kharif,1.64,Alluvial,0.498,0.862,256.8,21.4,1.5,46.12
Karnataka,Belagavi,Rice,Rabi,0.78,Black,0.713,0.492,549.1,17.9,5.96,74.31
Uttar Pradesh,Lucknow,Maize,Kharif,9.74,Loamy,0.817,0.61,789.7,21.2,4.39,91.68
Maharashtra,Nagpur,Maize,Rabi,11.01,Red,0.242,0.607,173.7,39.2,5.06,35.23
Karnataka,Mysuru,Cotton,Rabi,5.86,Loamy,0.269,0.6,141.0,19.0,1.43,20.61
Uttar Pradesh,Lucknow,Rice,Kharif,4.32,Alluvial,0.346,0.736,950.5,32.9,5.41,95.29
Haryana,Hisar,Maize,Rabi,1.59,Red,0.222,0.687,466.5,28.8,3.79,65.62
Maharashtra,Nagpur,Maize,Kharif,2.34,Red,0.47,0.571,618.9,38.4,4.89,65.32
Punjab,Amritsar,Cotton,Rabi,13.69,Black,0.654,0.257,178.6,18.9,4.15,40.79
Punjab,Amritsar,Sugarcane,Rabi,10.98,Red,0.494,0.268,88.0,27.0,4.0,46.39
Haryana,Karnal,Sugarcane,Kharif,8.66,Alluvial,0.395,0.267,206.6,19.3,5.21,39.48
Haryana,Hisar,Rice,Kharif,10.34,Loamy,0.735,0.894,378.1,25.3,1.83,70.73
Haryana,Hisar,Wheat,Kharif,1.51,Red,0.233,0.243,944.8,36.2,5.22,71.17
Haryana,Karnal,Cotton,Rabi,12.01,Alluvial,0.386,0.622,685.5,31.4,3.23,72.69
Uttar Pradesh,Lucknow,Cotton,Rabi,2.81,Black,0.539,0.353,622.8,29.0,2.9,71.33
Maharashtra,Pune,Sugarcane,Rabi,4.77,Red,0.734,0.722,283.5,33.2,4.74,71.21
Punjab,Amritsar,Rice,Rabi,12.77,Loamy,0.632,0.726,253.3,32.9,2.14,53.84
Punjab,Ludhiana,Wheat,Rabi,10.97,Red,0.631,0.306,844.2,38.4,1.68,59.55
Haryana,Hisar,Cotton,Rabi,1.16,Loamy,0.341,0.754,755.6,26.9,1.25,72.61
Haryana,Karnal,Rice,Rabi,8.48,Alluvial,0.285,0.279,118.7,33.6,4.56,34.48
Karnataka,Mysuru,Wheat,Rabi,3.0,Black,0.215,0.222,532.0,33.4,1.6,36.88
Haryana,Hisar,Rice,Kharif,3.66,Loamy,0.429,0.64,214.0,21.5,3.34,45.42
Karnataka,Mysuru,Rice,Rabi,1.71,Loamy,0.204,0.221,585.2,34.1,2.84,43.92
Maharashtra,Pune,Sugarcane,Rabi,2.11,Black,0.768,0.781,811.8,33.2,4.97,100.0
Haryana,Karnal,Cotton,Rabi,3.59,Loamy,0.428,0.306,639.5,25.5,4.07,69.96
Uttar Pradesh,Kanpur,Maize,Kharif,4.25,Black,0.417,0.313,831.8,29.7,4.07,80.96
Haryana,Hisar,Cotton,Kharif,11.12,Alluvial,0.63,0.344,187.8,18.0,4.14,40.74
Punjab,Ludhiana,Sugarcane,Rabi,10.52,Alluvial,0.687,0.501,706.5,28.0,5.88,100.0
Punjab,Ludhiana,Wheat,Kharif,14.31,Black,0.777,0.537,690.3,25.9,3.79,89.89
Karnataka,Belagavi,Sugarcane,Rabi,12.35,Red,0.777,0.366,357.5,27.0,3.98,72.12
Maharashtra,Pune,Rice,Rabi,7.85,Loamy,0.897,0.325,983.3,24.4,2.0,91.48
Punjab,Amritsar,Rice,Kharif,9.36,Loamy,0.853,0.337,776.3,15.6,2.88,66.7
Karnataka,Mysuru,Maize,Kharif,5.91,Loamy,0.492,0.41,673.8,38.0,3.0,56.16
Haryana,Karnal,Sugarcane,Kharif,8.79,Black,0.519,0.305,477.2,22.0,5.72,66.25
Maharashtra,Nagpur,Maize,Rabi,7.63,Red,0.762,0.669,170.3,23.7,2.7,56.81
Punjab,Ludhiana,Sugarcane,Kharif,12.84,Red,0.852,0.881,792.1,18.5,5.27,98.8
Karnataka,Mysuru,Maize,Kharif,12.51,Alluvial,0.498,0.243,579.0,19.3,5.83,64.21
Punjab,Amritsar,Cotton,Kharif,10.16,Black,0.583,0.344,767.4,35.1,3.76,71.97
Punjab,Amritsar,Rice,Kharif,4.39,Loamy,0.256,0.726,183.8,17.5,3.81,34.35
Maharashtra,Pune,Rice,Rabi,2.05,Alluvial,0.546,0.812,892.9,15.3,5.43,85.81
Maharashtra,Pune,Cotton,Kharif,9.15,Black,0.602,0.769,797.0,37.3,3.76,80.34
Haryana,Karnal,Sugarcane,Rabi,12.82,Alluvial,0.55,0.471,632.4,16.4,3.53,57.09
Karnataka,Belagavi,Wheat,Kharif,4.1,Black,0.629,0.48,61.3,18.1,2.62,30.38
Maharashtra,Nagpur,Cotton,Kharif,1.57,Red,0.4,0.457,640.6,16.6,3.65,52.91
Maharashtra,Pune,Maize,Kharif,10.38,Loamy,0.345,0.277,838.0,32.4,3.88,71.5
Karnataka,Belagavi,Wheat,Kharif,4.74,Loamy,0.495,0.695,974.6,37.3,2.71,78.38
Karnataka,Belagavi,Sugarcane,Kharif,1.22,Red,0.326,0.653,179.5,29.7,3.84,52.51
Punjab,Ludhiana,Sugarcane,Kharif,2.15,Loamy,0.808,0.29,651.3,33.0,1.8,67.09
Uttar Pradesh,Lucknow,Cotton,Rabi,11.05,Alluvial,0.329,0.558,138.6,38.0,2.72,26.0
Punjab,Ludhiana,Wheat,Rabi,5.0,Red,0.745,0.58,840.7,17.8,5.6,90.21
Haryana,Hisar,Rice,Rabi,14.85,Black,0.538,0.6,635.1,34.7,5.06,77.48
Uttar Pradesh,Lucknow,Cotton,Kharif,9.46,Alluvial,0.896,0.715,255.0,36.2,3.07,60.93
Punjab,Amritsar,Maize,Kharif,12.78,Black,0.578,0.49,978.3,29.6,5.33,100.0
Maharashtra,Nagpur,Sugarcane,Kharif,4.01,Loamy,0.503,0.379,890.2,17.8,4.4,73.19
Punjab,Ludhiana,Maize,Rabi,1.11,Alluvial,0.672,0.576,471.9,30.9,5.14,81.42
Karnataka,Belagavi,Maize,Kharif,9.85,Black,0.324,0.592,982.3,28.0,5.64,100.0
Haryana,Karnal,Sugarcane,Rabi,9.01,Loamy,0.392,0.223,829.8,21.9,4.98,73.48
Punjab,Amritsar,Wheat,Kharif,3.88,Loamy,0.741,0.261,412.5,27.7,2.34,64.19
Haryana,Hisar,Cotton,Rabi,1.96,Red,0.39,0.885,306.9,32.3,2.27,53.87
Haryana,Hisar,Wheat,Kharif,13.3,Loamy,0.408,0.777,390.3,17.5,4.79,56.17
Maharashtra,Pune,Sugarcane,Kharif,13.01,Alluvial,0.767,0.29,767.4,20.4,5.89,86.71
Maharashtra,Nagpur,Maize,Kharif,4.87,Red,0.341,0.742,726.9,30.9,2.94,75.73
Karnataka,Mysuru,Cotton,Kharif,0.96,Black,0.232,0.441,133.4,27.0,4.64,47.02
Maharashtra,Nagpur,Wheat,Rabi,14.4,Red,0.344,0.658,91.2,16.7,3.76,29.25
Maharashtra,Nagpur,Rice,Rabi,13.07,Alluvial,0.476,0.847,855.4,24.4,3.87,92.75
Punjab,Amritsar,Maize,Kharif,10.33,Loamy,0.447,0.766,274.0,26.5,3.36,62.3
Haryana,Hisar,Wheat,Kharif,2.81,Black,0.461,0.671,928.3,35.4,2.5,77.03
Haryana,Hisar,Maize,Rabi,1.4,Alluvial,0.326,0.287,919.1,18.5,3.69,63.99
Karnataka,Belagavi,Maize,Kharif,1.24,Red,0.477,0.332,583.6,32.3,3.66,63.88
Karnataka,Belagavi,Wheat,Kharif,11.96,Loamy,0.402,0.471,645.4,28.8,5.81,85.56
Haryana,Karnal,Maize,Kharif,7.81,Alluvial,0.794,0.365,938.4,38.9,5.79,90.99
Maharashtra,Pune,Sugarcane,Kharif,8.6,Loamy,0.795,0.897,532.7,23.6,1.93,77.73
Punjab,Ludhiana,Rice,Kharif,7.82,Alluvial,0.842,0.64,848.3,18.7,5.28,95.69
Punjab,Ludhiana,Wheat,Rabi,9.66,Loamy,0.255,0.54,249.3,20.0,5.7,47.39
Karnataka,Belagavi,Rice,Rabi,2.22,Black,0.81,0.204,418.7,21.9,3.85,61.44
Maharashtra,Nagpur,Wheat,Kharif,9.25,Loamy,0.302,0.709,247.1,25.8,4.23,57.4
Haryana,Hisar,Maize,Kharif,14.45,Black,0.364,0.27,190.9,32.6,4.63,42.98
Karnataka,Belagavi,Rice,Rabi,2.26,Black,0.391,0.555,349.8,39.8,3.16,37.25
Maharashtra,Pune,Rice,Kharif,1.88,Loamy,0.443,0.226,227.1,33.7,2.63,34.26
Uttar Pradesh,Lucknow,Wheat,Kharif,0.81,Loamy,0.717,0.871,869.2,19.2,2.63,85.88
Haryana,Karnal,Sugarcane,Kharif,5.1,Black,0.578,0.684,450.3,36.4,4.86,67.34
Maharashtra,Pune,Rice,Rabi,11.96,Red,0.762,0.704,71.0,29.1,4.74,69.32
